"","X.1","X","pop","abs","tempo","conc","experiment","abs_norm","n_base","n_parasitos"
"216",216,216,"C58",0.21,2,150,"EXP1",0.2056,5e+05,510700.389105058
"217",217,217,"C67",0.224,2,150,"EXP1",0.211666666666667,5e+05,529133.858267716
"218",218,218,"C73",0.224,2,150,"EXP1",0.2082,5e+05,537944.284341979
"219",219,219,"C85",0.211,2,150,"EXP1",0.1958,5e+05,538815.117466803
"220",220,220,"C89",0.233,2,150,"EXP1",0.203666666666667,5e+05,572013.093289689
"221",221,221,"REF",0.249,2,150,"EXP1",0.226266666666667,5e+05,550235.710076606
"222",222,222,"GSH1",0.238,2,150,"EXP1",0.214266666666667,5e+05,555382.700684505
"223",223,223,"C6",0.23,2,150,"EXP1",0.2094,5e+05,549188.156638013
"224",224,224,"C7",0.22,2,150,"EXP1",0.209333333333333,5e+05,525477.707006369
"225",225,225,"C44",0.222,2,150,"EXP1",0.208466666666667,5e+05,532459.226095299
"226",226,226,"C58",0.22,2,150,"EXP1",0.2056,5e+05,535019.455252918
"227",227,227,"C67",0.235,2,150,"EXP1",0.211666666666667,5e+05,555118.11023622
"228",228,228,"C73",0.226,2,150,"EXP1",0.2082,5e+05,542747.358309318
"229",229,229,"C85",0.21,2,150,"EXP1",0.1958,5e+05,536261.491317671
"230",230,230,"C89",0.228,2,150,"EXP1",0.203666666666667,5e+05,559738.134206219
"231",231,231,"REF",0.256,2,150,"EXP1",0.226266666666667,5e+05,565704.18385386
"232",232,232,"GSH1",0.236,2,150,"EXP1",0.214266666666667,5e+05,550715.619166148
"233",233,233,"C6",0.232,2,150,"EXP1",0.2094,5e+05,553963.70582617
"234",234,234,"C7",0.228,2,150,"EXP1",0.209333333333333,5e+05,544585.987261147
"235",235,235,"C44",0.227,2,150,"EXP1",0.208466666666667,5e+05,544451.551007355
"236",236,236,"C58",0.216,2,150,"EXP1",0.2056,5e+05,525291.828793774
"237",237,237,"C67",0.219,2,150,"EXP1",0.211666666666667,5e+05,517322.834645669
"238",238,238,"C73",0.217,2,150,"EXP1",0.2082,5e+05,521133.525456292
"239",239,239,"C85",0.209,2,150,"EXP1",0.1958,5e+05,533707.865168539
"240",240,240,"C89",0.232,2,150,"EXP1",0.203666666666667,5e+05,569558.101472995
"241",241,241,"REF",0.208,2,0,"EXP2",0.351733333333333,5e+05,295678.544351782
"242",242,242,"GSH1",0.213,2,0,"EXP2",0.344466666666667,5e+05,309173.601703116
"243",243,243,"C6",0.202,2,0,"EXP2",0.303133333333333,5e+05,333186.716516384
"244",244,244,"C7",0.201,2,0,"EXP2",0.3604,5e+05,278856.825749168
"245",245,245,"C44",0.2,2,0,"EXP2",0.3204,5e+05,312109.86267166
"246",246,246,"C58",0.199,2,0,"EXP2",0.4064,5e+05,244832.677165354
"247",247,247,"C67",0.199,2,0,"EXP2",0.321866666666667,5e+05,309134.217067108
"248",248,248,"C73",0.2,2,0,"EXP2",0.401133333333333,5e+05,249293.667940834
"249",249,249,"C85",0.188,2,0,"EXP2",0.327133333333333,5e+05,287344.609741186
"250",250,250,"C89",0.183,2,0,"EXP2",0.374266666666667,5e+05,244478.090488066
"251",251,251,"REF",0.205,2,0,"EXP2",0.351733333333333,5e+05,291413.949962093
"252",252,252,"GSH1",0.216,2,0,"EXP2",0.344466666666667,5e+05,313528.159473582
"253",253,253,"C6",0.205,2,0,"EXP2",0.303133333333333,5e+05,338135.03408841
"254",254,254,"C7",0.214,2,0,"EXP2",0.3604,5e+05,296892.341842397
"255",255,255,"C44",0.197,2,0,"EXP2",0.3204,5e+05,307428.214731586
"256",256,256,"C58",0.202,2,0,"EXP2",0.4064,5e+05,248523.622047244
"257",257,257,"C67",0.193,2,0,"EXP2",0.321866666666667,5e+05,299813.587406794
"258",258,258,"C73",0.197,2,0,"EXP2",0.401133333333333,5e+05,245554.262921722
"259",259,259,"C85",0.181,2,0,"EXP2",0.327133333333333,5e+05,276645.608314653
"260",260,260,"C89",0.178,2,0,"EXP2",0.374266666666667,5e+05,237798.361239758
"261",261,261,"REF",0.215,2,0,"EXP2",0.351733333333333,5e+05,305629.26459439
"262",262,262,"GSH1",0.205,2,0,"EXP2",0.344466666666667,5e+05,297561.447648539
"263",263,263,"C6",0.197,2,0,"EXP2",0.303133333333333,5e+05,324939.520563009
"264",264,264,"C7",0.209,2,0,"EXP2",0.3604,5e+05,289955.604883463
"265",265,265,"C44",0.151,2,0,"EXP2",0.3204,5e+05,235642.946317104
"266",266,266,"C58",0.18,2,0,"EXP2",0.4064,5e+05,221456.692913386
"267",267,267,"C67",0.194,2,0,"EXP2",0.321866666666667,5e+05,301367.025683513
"268",268,268,"C73",0.197,2,0,"EXP2",0.401133333333333,5e+05,245554.262921722
"269",269,269,"C85",0.188,2,0,"EXP2",0.327133333333333,5e+05,287344.609741186
"270",270,270,"C89",0.184,2,0,"EXP2",0.374266666666667,5e+05,245814.036337727
"271",271,271,"REF",0.194,2,150,"EXP2",0.2474,5e+05,392077.607113985
"272",272,272,"GSH1",0.197,2,150,"EXP2",0.248533333333333,5e+05,396325.107296137
"273",273,273,"C6",0.192,2,150,"EXP2",0.2342,5e+05,409906.063193851
"274",274,274,"C7",0.151,2,150,"EXP2",0.223066666666667,5e+05,338463.837417812
"275",275,275,"C44",0.141,2,150,"EXP2",0.213066666666667,5e+05,330882.352941177
"276",276,276,"C58",0.146,2,150,"EXP2",0.229266666666667,5e+05,318406.513521372
"277",277,277,"C67",0.182,2,150,"EXP2",0.2242,5e+05,405887.600356824
"278",278,278,"C73",0.189,2,150,"EXP2",0.2504,5e+05,377396.166134185
"279",279,279,"C85",0.184,2,150,"EXP2",0.237733333333333,5e+05,386988.222097588
"280",280,280,"C89",0.183,2,150,"EXP2",0.232266666666667,5e+05,393943.74282434
"281",281,281,"REF",0.192,2,150,"EXP2",0.2474,5e+05,388035.569927243
"282",282,282,"GSH1",0.187,2,150,"EXP2",0.248533333333333,5e+05,376207.081545064
"283",283,283,"C6",0.193,2,150,"EXP2",0.2342,5e+05,412040.990606319
"284",284,284,"C7",0.172,2,150,"EXP2",0.223066666666667,5e+05,385534.967124925
"285",285,285,"C44",0.15,2,150,"EXP2",0.213066666666667,5e+05,352002.503128911
"286",286,286,"C58",0.184,2,150,"EXP2",0.229266666666667,5e+05,401279.441698168
"287",287,287,"C67",0.185,2,150,"EXP2",0.2242,5e+05,412578.055307761
"288",288,288,"C73",0.187,2,150,"EXP2",0.2504,5e+05,373402.555910543
"289",289,289,"C85",0.185,2,150,"EXP2",0.237733333333333,5e+05,389091.418956814
"290",290,290,"C89",0.187,2,150,"EXP2",0.232266666666667,5e+05,402554.535017222
"291",291,291,"REF",0.19,2,150,"EXP2",0.2474,5e+05,383993.532740501
"292",292,292,"GSH1",0.199,2,150,"EXP2",0.248533333333333,5e+05,400348.712446352
"293",293,293,"C6",0.176,2,150,"EXP2",0.2342,5e+05,375747.224594364
"294",294,294,"C7",0.176,2,150,"EXP2",0.223066666666667,5e+05,394500.896592947
"295",295,295,"C44",0.178,2,150,"EXP2",0.213066666666667,5e+05,417709.637046308
"296",296,296,"C58",0.177,2,150,"EXP2",0.229266666666667,5e+05,386013.37598139
"297",297,297,"C67",0.184,2,150,"EXP2",0.2242,5e+05,410347.903657449
"298",298,298,"C73",0.186,2,150,"EXP2",0.2504,5e+05,371405.750798722
"299",299,299,"C85",0.186,2,150,"EXP2",0.237733333333333,5e+05,391194.61581604
"300",300,300,"C89",0.193,2,150,"EXP2",0.232266666666667,5e+05,415470.723306544
"301",301,301,"REF",0.197,2,0,"EXP3",0.356133333333333,5e+05,276581.804567578
"302",302,302,"GSH1",0.192,2,0,"EXP3",0.300333333333333,5e+05,319644.839067703
"303",303,303,"C6",0.191,2,0,"EXP3",0.224533333333333,5e+05,425326.603325416
"304",304,304,"C7",0.196,2,0,"EXP3",0.368,5e+05,266304.347826087
"305",305,305,"C44",0.186,2,0,"EXP3",0.307266666666667,5e+05,302668.691690171
"306",306,306,"C58",0.174,2,0,"EXP3",0.240933333333333,5e+05,361095.738793581
"307",307,307,"C67",0.167,2,0,"EXP3",0.241,5e+05,346473.029045643
"308",308,308,"C73",0.167,2,0,"EXP3",0.2194,5e+05,380583.409298086
"309",309,309,"C85",0.156,2,0,"EXP3",0.225866666666667,5e+05,345336.481700118
"310",310,310,"C89",0.156,2,0,"EXP3",0.217466666666667,5e+05,358675.659104844
"311",311,311,"REF",0.19,2,0,"EXP3",0.356133333333333,5e+05,266754.024709846
"312",312,312,"GSH1",0.161,2,0,"EXP3",0.300333333333333,5e+05,268035.51609323
"313",313,313,"C6",0.17,2,0,"EXP3",0.224533333333333,5e+05,378562.945368171
"314",314,314,"C7",0.195,2,0,"EXP3",0.368,5e+05,264945.652173913
"315",315,315,"C44",0.193,2,0,"EXP3",0.307266666666667,5e+05,314059.448904318
"316",316,316,"C58",0.174,2,0,"EXP3",0.240933333333333,5e+05,361095.738793581
"317",317,317,"C67",0.169,2,0,"EXP3",0.241,5e+05,350622.406639004
"318",318,318,"C73",0.179,2,0,"EXP3",0.2194,5e+05,407930.720145852
"319",319,319,"C85",0.171,2,0,"EXP3",0.225866666666667,5e+05,378541.912632822
"320",320,320,"C89",0.16,2,0,"EXP3",0.217466666666667,5e+05,367872.470876763
"321",321,321,"REF",0.166,2,0,"EXP3",0.356133333333333,5e+05,233058.77948334
